Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
283,1.0,0.0,0.7745,12.9,32.3,1916.16,815.27,15.81
284,1.0,0.0,0.6876,29.65,32.65,1917.38,799.69,21.19
285,1.0,0.0,0.7167,41.56,37.95,1915.87,792.8,21.23
286,1.0,0.0,0.685,38.5,50.68,1915.98,797.29,21.17
287,1.0,0.0,0.6818,56.43,61.51,1915.69,796.51,21.06
288,1.0,0.0,0.6995,59.12,67.41,1915.96,796.6,17.52
289,1.0,0.0,0.7197,80.16,59.37,1917.23,804.67,15.84
290,1.0,0.0,0.7394,55.18,45.5,1918.96,816.27,21.14
291,1.0,0.0,0.7501,108.57,30.61,1919.44,851.29,21.25
292,1.0,0.0,0.7704,128.23,22.32,1920.0,839.13,21.18
293,1.0,0.0,0.7107,147.1,21.83,1919.97,841.65,20.95
294,1.0,0.0,0.7104,152.25,26.35,1919.97,843.86,20.83
295,1.0,0.0,0.6998,141.32,41.7,1920.0,823.01,17.12
296,1.0,0.0,0.7094,151.1,73.59,1917.97,826.29,20.17
297,1.0,0.0,0.7494,165.57,53.47,1919.34,853.51,21.08
298,1.0,0.0,0.6996,135.08,53.08,1919.91,811.31,20.93
299,1.0,0.0,0.7683,136.91,73.92,1919.52,840.8,17.35
300,,,,,,,,11.78
301,,,,,,,,14.89
302,,,,,,,,25.48
303,,,,,,,,21.24
304,,,,,,,,52.34
305,,,,,,,,31.7
306,,,,,,,,63.17
307,,,,,,,,31.78
308,,,,,,,,24.77
309,,,,,,,,21.07
310,,,,,,,,21.1
311,,,,,,,,21.18
312,,,,,,,,21.08
313,,,,,,,,21.13
314,,,,,,,,19.35
315,,,,,,,,31.55
316,,,,,,,,31.81
317,,,,,,,,21.23
318,,,,,,,,38.25
319,,,,,,,,21.1
320,,,,,,,,31.71
321,,,,,,,,21.1
322,,,,,,,,21.11
323,,,,,,,,63.7
324,,,,,,,,31.55
325,,,,,,,,31.95
326,,,,,,,,63.78
327,,,,,,,,17.34
328,,,,,,,,20.92
329,,,,,,,,21.01
330,,,,,,,,21.32
331,,,,,,,,23.67
332,,,,,,,,21.58
333,,,,,,,,26.71
334,,,,,,,,20.97
335,,,,,,,,49.85
336,,,,,,,,48.0
337,,,,,,,,19.72
338,,,,,,,,42.24
339,,,,,,,,21.02
340,,,,,,,,27.02
341,,,,,,,,21.21
342,,,,,,,,31.73
343,,,,,,,,63.71
