Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
214,1.0,0.0,0.8338,0.0,0.0,1914.0,843.0,3.66
215,1.0,0.0,0.7997,0.0,0.0,1917.0,854.0,3.69
216,1.0,0.0,0.8163,9.0,1.0,1914.0,842.0,3.83
217,1.0,0.0,0.7467,0.0,0.0,1918.0,859.0,3.54
218,1.0,0.0,0.4259,0.0,0.0,1920.0,987.0,3.75
219,1.0,0.0,0.509,0.0,0.0,1920.0,1041.0,3.45
220,1.0,0.0,0.6827,4.0,0.0,1920.0,1043.0,3.53
221,1.0,0.0,0.798,4.0,0.0,1920.0,935.0,3.45
222,1.0,0.0,0.8289,1.0,0.0,1734.0,862.0,3.47
223,1.0,0.0,0.8047,0.0,0.0,1690.0,846.0,3.32
224,1.0,0.0,0.8174,1.0,0.0,1725.0,826.0,3.41
225,1.0,0.0,0.8262,0.0,2.0,1691.0,818.0,3.66
226,1.0,0.0,0.8321,0.0,4.0,1698.0,817.0,3.67
227,1.0,0.0,0.8344,0.0,5.0,1696.0,818.0,3.81
228,1.0,0.0,0.817,0.0,4.0,1704.0,837.0,3.77
229,1.0,0.0,0.7789,0.0,3.0,1726.0,833.0,3.42
230,1.0,0.0,0.798,3.0,3.0,1716.0,842.0,3.19
231,1.0,0.0,0.7552,7.0,0.0,1740.0,853.0,2.75
232,1.0,0.0,0.76,15.0,0.0,1772.0,847.0,2.89
233,1.0,0.0,0.7859,11.0,0.0,1827.0,834.0,3.45
234,1.0,0.0,0.7746,9.0,0.0,1869.0,840.0,3.59
235,1.0,0.0,0.7861,11.0,0.0,1887.0,834.0,3.69
236,1.0,0.0,0.7476,10.0,0.0,1898.0,839.0,4.06
237,1.0,0.0,0.7993,11.0,0.0,1906.0,837.0,4.0
238,1.0,0.0,0.7858,8.0,0.0,1916.0,846.0,3.98
239,1.0,0.0,0.7934,5.0,0.0,1915.0,851.0,3.56
240,1.0,0.0,0.7978,0.0,1.0,1915.0,853.0,3.67
241,1.0,0.0,0.8266,0.0,3.0,1919.0,854.0,3.38
242,1.0,0.0,0.8251,0.0,4.0,1919.0,857.0,3.37
243,1.0,0.0,0.8313,0.0,0.0,1917.0,853.0,3.23
244,1.0,0.0,0.8374,0.0,1.0,1916.0,853.0,3.21
245,1.0,0.0,0.8374,0.0,2.0,1915.0,833.0,3.55
246,1.0,0.0,0.8266,0.0,0.0,1910.0,828.0,3.67
247,1.0,0.0,0.8363,5.0,0.0,1915.0,829.0,3.76
248,1.0,0.0,0.7978,3.0,0.0,1914.0,830.0,3.74
249,1.0,0.0,0.8196,12.0,0.0,1912.0,838.0,3.41
250,1.0,0.0,0.8448,11.0,0.0,1913.0,834.0,3.68
251,1.0,0.0,0.8436,19.0,3.0,1913.0,832.0,3.27
252,1.0,0.0,0.854,19.0,0.0,1912.0,849.0,2.62
253,1.0,0.0,0.8406,27.0,0.0,1908.0,851.0,2.72
254,1.0,0.0,0.8349,14.0,0.0,1907.0,839.0,3.74
255,1.0,0.0,0.8335,12.0,2.0,1911.0,836.0,3.68
256,1.0,0.0,0.8414,19.0,5.0,1913.0,836.0,4.03
257,1.0,0.0,0.8356,23.0,6.0,1912.0,839.0,3.93
258,1.0,0.0,0.812,21.0,6.0,1911.0,837.0,3.86
259,1.0,0.0,0.8321,22.0,5.0,1910.0,841.0,3.95
260,1.0,0.0,0.8273,10.0,5.0,1894.0,843.0,3.85
261,1.0,0.0,0.8245,11.0,5.0,1897.0,840.0,3.45
262,1.0,0.0,0.8144,18.0,4.0,1885.0,839.0,3.57
263,1.0,0.0,0.8083,13.0,12.0,1886.0,832.0,2.89
264,1.0,0.0,0.8007,17.0,6.0,1889.0,833.0,2.41
265,1.0,0.0,0.8116,20.0,2.0,1894.0,823.0,3.39
266,1.0,0.0,0.7701,17.0,2.0,1900.0,799.0,3.93
267,1.0,0.0,0.7236,12.0,20.0,1901.0,795.0,3.58
